Płeć,Kategoria wiekowa,5 km Czas,5 km Tempo,10 km Czas,10 km Tempo,15 km Czas,15 km Tempo,20 km Czas,20 km Tempo,Tempo Stabilność,Czas,Tempo
K,K20,1940.0,6.466666666666667,3735.0,5.983333333333333,5520.0,5.95,7340.0,6.066666666666666,-0.0246666666666666,7742.0,6.116773327012721
K,K50,1740.0,5.8,3498.0,5.86,5372.0,6.246666666666667,7298.0,6.42,0.0449333333333334,7742.0,6.116773327012721
K,K40,1826.0,6.086666666666667,3609.0,5.943333333333333,5448.0,6.13,7323.0,6.25,0.0135333333333334,7742.0,6.116773327012721
M,M50,1692.0,5.64,3352.0,5.533333333333333,5182.0,6.1,7238.0,6.8533333333333335,0.0841333333333334,7742.0,6.116773327012721
M,M40,1645.0,5.483333333333333,3357.0,5.706666666666666,5229.0,6.239999999999999,7262.0,6.776666666666667,0.0882666666666667,7743.0,6.117563403650154
M,M30,1873.0,6.243333333333334,3672.0,5.996666666666667,5499.0,6.09,7337.0,6.126666666666667,-0.0051333333333332,7743.0,6.117563403650154
K,K40,1882.0,6.2733333333333325,3651.0,5.8966666666666665,5483.0,6.1066666666666665,7326.0,6.1433333333333335,-0.0035999999999998,7744.0,6.118353480287587
M,M30,1832.0,6.1066666666666665,3600.0,5.8933333333333335,5408.0,6.026666666666667,7346.0,6.46,0.0238666666666667,7744.0,6.118353480287587
K,K40,1740.0,5.8,3481.0,5.803333333333333,5358.0,6.256666666666666,7312.0,6.513333333333334,0.0518666666666666,7744.0,6.118353480287587
K,K20,1735.0,5.783333333333333,3402.0,5.556666666666667,5174.0,5.906666666666666,7256.0,6.94,0.0764,7744.0,6.118353480287587
M,M50,1737.0,5.79,3470.0,5.776666666666667,5327.0,6.19,7269.0,6.473333333333333,0.0492666666666667,7744.0,6.118353480287587
M,M20,1806.0,6.02,3563.0,5.8566666666666665,5388.0,6.083333333333333,7305.0,6.39,0.0267333333333333,7744.0,6.118353480287587
M,M20,1786.0,5.953333333333333,3526.0,5.8,5363.0,6.123333333333333,7287.0,6.413333333333333,0.0340666666666669,7745.0,6.119143556925022
M,M50,1843.0,6.1433333333333335,3621.0,5.926666666666667,5495.0,6.246666666666667,7352.0,6.19,0.0092,7745.0,6.119143556925022
M,M50,1785.0,5.95,3553.0,5.8933333333333335,5417.0,6.213333333333334,7347.0,6.433333333333334,0.0354000000000002,7745.0,6.119143556925022
K,K40,1808.0,6.026666666666667,3557.0,5.83,5401.0,6.1466666666666665,7316.0,6.383333333333334,0.0277333333333334,7746.0,6.119933633562456
M,M30,1679.0,5.596666666666667,3331.0,5.506666666666666,5241.0,6.366666666666666,7276.0,6.783333333333333,0.0884,7747.0,6.120723710199889
M,M30,1867.0,6.223333333333333,3640.0,5.91,5464.0,6.08,7342.0,6.260000000000001,0.0056000000000002,7747.0,6.120723710199889
M,M50,1793.0,5.976666666666668,3507.0,5.713333333333334,5290.0,5.943333333333333,7282.0,6.64,0.0444,7747.0,6.120723710199889
M,M20,1807.0,6.0233333333333325,3593.0,5.953333333333333,5441.0,6.16,7285.0,6.1466666666666665,0.0115333333333334,7748.0,6.121513786837324
M,M30,1687.0,5.623333333333333,3438.0,5.836666666666667,5332.0,6.3133333333333335,7293.0,6.536666666666666,0.0643333333333335,7748.0,6.121513786837324
M,M30,1708.0,5.693333333333333,3380.0,5.573333333333333,5196.0,6.053333333333333,7274.0,6.926666666666667,0.0836000000000001,7748.0,6.121513786837324
M,M20,1902.0,6.34,3666.0,5.88,5472.0,6.02,7344.0,6.239999999999999,-0.0032,7748.0,6.121513786837324
K,K40,1807.0,6.0233333333333325,3591.0,5.946666666666667,5458.0,6.223333333333333,7326.0,6.226666666666668,0.0177333333333335,7748.0,6.121513786837324
M,M20,1777.0,5.923333333333333,3525.0,5.826666666666667,5381.0,6.1866666666666665,7303.0,6.406666666666666,0.0362,7748.0,6.121513786837324
K,K30,1776.0,5.92,3542.0,5.886666666666667,5405.0,6.21,7309.0,6.346666666666667,0.0320666666666666,7748.0,6.121513786837324
M,M30,1847.0,6.156666666666666,3677.0,6.1,5517.0,6.133333333333334,7325.0,6.026666666666667,-0.007133333333333,7748.0,6.121513786837324
M,M50,1831.0,6.1033333333333335,3680.0,6.163333333333333,5539.0,6.196666666666667,7365.0,6.086666666666667,-0.0003333333333332,7749.0,6.122303863474757
K,K50,1803.0,6.010000000000001,3553.0,5.833333333333333,5374.0,6.069999999999999,7292.0,6.3933333333333335,0.0277333333333332,7749.0,6.122303863474757
M,M40,1825.0,6.083333333333333,3600.0,5.916666666666667,5446.0,6.153333333333333,7326.0,6.266666666666667,0.0157333333333334,7750.0,6.123093940112191
M,M40,1609.0,5.363333333333333,3280.0,5.569999999999999,5152.0,6.239999999999999,7246.0,6.98,0.1104000000000001,7751.0,6.123884016749625
M,M40,1810.0,6.033333333333333,3564.0,5.846666666666667,5423.0,6.196666666666667,7320.0,6.323333333333333,0.0244000000000001,7751.0,6.123884016749625
K,K20,1746.0,5.819999999999999,3457.0,5.703333333333333,5300.0,6.1433333333333335,7286.0,6.62,0.0568000000000001,7751.0,6.123884016749625
K,K30,1777.0,5.923333333333333,3533.0,5.8533333333333335,5416.0,6.276666666666667,7329.0,6.376666666666667,0.0356666666666669,7751.0,6.123884016749625
M,M30,1596.0,5.319999999999999,3231.0,5.45,5187.0,6.52,7277.0,6.966666666666667,0.1202,7751.0,6.123884016749625
K,K20,1775.0,5.916666666666667,3498.0,5.743333333333334,5390.0,6.306666666666667,7326.0,6.453333333333333,0.0434666666666666,7752.0,6.124674093387059
K,K20,1771.0,5.903333333333333,3519.0,5.826666666666667,5388.0,6.23,7352.0,6.546666666666667,0.0466666666666668,7755.0,6.12704432329936
M,M40,1652.0,5.506666666666666,3415.0,5.876666666666667,5281.0,6.22,7308.0,6.756666666666666,0.0818666666666667,7755.0,6.12704432329936
M,M20,1862.0,6.206666666666666,3635.0,5.91,5497.0,6.206666666666666,7351.0,6.180000000000001,0.0043333333333335,7756.0,6.127834399936794
K,K30,1812.0,6.04,3593.0,5.9366666666666665,5449.0,6.1866666666666665,7339.0,6.3,0.0206000000000001,7757.0,6.128624476574228
K,K30,1821.0,6.069999999999999,3573.0,5.84,5448.0,6.25,7328.0,6.266666666666667,0.02,7757.0,6.128624476574228
K,K30,1832.0,6.1066666666666665,3568.0,5.786666666666666,5381.0,6.043333333333334,7335.0,6.513333333333334,0.0295333333333335,7758.0,6.129414553211662
M,M20,1750.0,5.833333333333333,3478.0,5.760000000000001,5349.0,6.236666666666666,7310.0,6.536666666666666,0.0517333333333333,7759.0,6.130204629849096
K,K20,1747.0,5.823333333333333,3531.0,5.946666666666667,5373.0,6.14,7333.0,6.533333333333333,0.0464666666666666,7761.0,6.131784783123964
M,M40,1724.0,5.746666666666667,3481.0,5.8566666666666665,5350.0,6.23,7313.0,6.543333333333334,0.0552666666666669,7761.0,6.131784783123964
K,K40,1738.0,5.793333333333334,3442.0,5.680000000000001,5299.0,6.19,7281.0,6.6066666666666665,0.0590000000000001,7762.0,6.132574859761397
M,M60,1768.0,5.8933333333333335,3495.0,5.756666666666666,5373.0,6.260000000000001,7310.0,6.456666666666666,0.0438666666666667,7762.0,6.132574859761397
M,M20,1709.0,5.696666666666667,3338.0,5.430000000000001,5086.0,5.826666666666667,7282.0,7.319999999999999,0.1053333333333333,7762.0,6.132574859761397
K,K20,1801.0,6.003333333333333,3558.0,5.8566666666666665,5416.0,6.193333333333333,7332.0,6.386666666666667,0.0297333333333334,7762.0,6.132574859761397
M,M20,1844.0,6.1466666666666665,3655.0,6.036666666666666,5417.0,5.873333333333333,7293.0,6.253333333333333,0.0031333333333334,7762.0,6.132574859761397
